query,completion
Which campuses are part of the CUI network?,"The campuses mentioned are Islamabad Campus, Abbottabad Campus, Wah Campus, Lahore Campus, Sahiwal Campus, Vehari Campus, and a Virtual Campus."
What graduate programs are available at CUI Attock Campus?,"Graduate programs listed include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What graduate programs are available in the Department of Electrical Engineering?,The Department of Electrical Engineering offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
Where is the university located and what are the contact phone numbers?,"The university is located near Officers Colony, University Road Attock, Pakistan. The contact phone numbers are +92-57-9316330-1 and +92-57-9049158."
What achievements does the Department of Electrical Engineering highlight in its recent message from the Head of Department?,"The message states that since its inception the department has produced world‑class graduates and postgraduates, established state‑of‑the‑art infrastructure and lab facilities funded by grants, secured employment for many students in top core and engineering companies, sent a good number of students to higher studies at reputable universities abroad, and that faculty are involved in several research projects and publish in international journals and conferences."
Which social media platforms can I follow to get updates from the university?,"You can follow the university on Facebook, Instagram, LinkedIn, and YouTube."
What undergraduate degree programs are listed on the university website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
When was the Department of Electrical Engineering at CUI Attock campus established?,The Department of Electrical Engineering (EE) at the Attock campus was established in 2007.
What degree programs are offered by the EE department at CUI Attock?,"The EE department has launched multiple degree programs, including a Ph.D. in Electrical Engineering, a Ph.D. in Computer Engineering, an M.S. in Electrical Engineering, and a B.S. in Electrical Engineering."
What are the main goals of the Department of Electrical Engineering at CUI?,"The department aims to achieve academic and research excellence through a well‑designed curriculum, a strong focus on research and innovation, objective‑based learning, and strong industrial liaison. It also strives to provide excellent facilities, the best teaching methods, and a supportive learning environment so students can attain professional and academic excellence."
Where is the CUI Department of Electrical Engineering located?,"The department is located on the Attock campus of COMSATS University Islamabad, near Officers Colony on University Road in Attock, Pakistan."
What is the vision of COMSATS University Islamabad regarding its future national and global rankings?,"The university envisions assuming a truly national character, having a presence in all provinces, and achieving a position among the top five universities in Pakistan; among the top 100 universities in developing countries; and among the top 300, top 200, and top 100 universities in the world within 5, 10, and 15 years respectively."
Which departments are listed for undergraduate studies at COMSATS University Islamabad?,"The undergraduate departments mentioned are the Department of Computer Science, Department of Electrical Engineering, Department of Computer Engineering, Department of Management Sciences, and Department of Mathematics. The undergraduate programs offered include BCS, BEE, BCE, BBA, and BSM."
"How can I contact the COMSATS University Islamabad office near Officers Colony, University Road Attock?","You can reach the office by calling +92-57-9316330-1 or +92-57-9049158. The office is located near Officers Colony, University Road Attock."
What graduate engineering programs are offered at COMSATS University Islamabad?,The graduate engineering programs include a Master of Science in Electrical Engineering and a Master of Science in Computer Engineering. Doctoral (PhD) engineering programs are offered in Electrical Engineering and Computer Engineering.
What are the mission statements of COMSATS University Islamabad?,"The university was founded on the belief that understanding enriches all people and is dedicated to the search for truth through the advancement of learning, extending the frontiers of knowledge, and sharing this knowledge."
What is the penalty for not displaying an ID card on the CUI campus?,Students not displaying the ID cards will be fined Rs. 200/- and the card will be confiscated until the challan form is submitted.
Which phone numbers can be used to contact CUI Attock campus?,The contact numbers listed are +92-57-9316330-1 and +92-57-9049158.
What graduate programs are offered by CUI?,"Graduate programs include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
Where is the CUI campus located in Attock?,"The campus is located near Officers Colony, University Road Attock, Pakistan."
What departments are listed under CUI's academic offerings?,"The listed departments are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
When did the Pakistan Engineering Council conduct the zero visit for the Electrical Engineering program at CUI Attock?,"The PEC team visited CUI Attock campus on April 28, 2011 for the zero visit of the Electrical Engineering program."
What decision did the PEC make after the zero visit of the Electrical Engineering program?,The PEC gave a green signal to launch the Electrical Engineering program in the 61st EA and QEC meeting.
Has the Computer Engineering program at CUI Attock been accredited by the PEC?,The campus is still waiting for accreditation status from the Pakistan Engineering Council for the Computer Engineering program.
When did the PEC conduct an interim visit for the Computer Engineering program at CUI Attock?,"The PEC team visited CUI Attock campus on August 11, 2015 for the interim visit of the Computer Engineering program."
What degree programs are available in the Department of Electrical Engineering at CUI Attock?,"The Department of Electrical Engineering offers a Bachelor of Science in Electrical Engineering (BEE), a Master of Science in Electrical Engineering (MSE), and a PhD in Electrical Engineering."
How can I reach the Head of the Electrical Engineering Department?,You can email the Head of Department at either hod_ee@ciit-attock.edu.pk or hod_ee@cuiatk.edu.pk.
What are the contact phone numbers for the university campus in Attock?,The campus can be reached at +92-57-9316330-1 and +92-57-9049158.
When was the Electrical Engineering Department's new website launched?,The new website was launched on 16 February 2026.
What are the phone numbers I can call to contact the university?,The university can be reached at +92-57-9316330-1 and +92-57-9049158.
Where is the university campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
Which research groups belong to the Department of Electrical Engineering?,The Department of Electrical Engineering hosts two research groups: OPTRIC (Optimization Research and Innovation Center) and ACRC (Antenna & Communication Research Center).
What does the OPTRIC research group focus on?,"OPTRIC conducts advanced studies on solving difficult, large‑scale optimization problems, emphasizing state‑of‑the‑art implementation of modern algorithms, practical relevance, and collaboration with industrial partners."
What are the main activities of the ACRC research center?,"The Antenna & Communication Research Centre (ACRC) specializes in the analysis, design, and measurement of antennas and associated devices."
What graduate programs are offered by the Department of Electrical Engineering at CUI?,The Department of Electrical Engineering offers the following graduate programs: Master of Science in Electrical Engineering and PhD in Electrical Engineering.
Can you list the research papers mentioned for the Department of Electrical Engineering?,"The listed research papers are: 
1. ""Advances in relay networks: Performance and Capacity analysis of space-time analog network coding,"" accepted for publication in EURASIP Journal on Wireless Communications and Networking, December 10, 2010.
2. ""Cooperative Network in wireless communications: bit-interleaved coded modulation with iterative decoding,"" Journal of Communications, vol. 5, no. 7, pp. 562-570, July 2010.
3. ""Performance Bounds for Bit-Interleaved Space-Time Coded Modulation with Iterative Decoding based Cooperative Network,"" Journal of Communications, vol. 5, no. 4, pp. 297-306, April 2010 (ISSN: 1796-2021)."
What are the contact phone numbers for CUI's Attock campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What are the phone numbers to contact the university?,The contact numbers listed are +92-57-9316330-1 and +92-57-9049158.
Where is the university located?,"The address given is Near Officers Colony, University Road Attock."
Which graduate programs are offered in Electrical Engineering?,The Department of Electrical Engineering offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
Who is the Head of Department for Electrical Engineering?,Yasir Muhammad is listed as the HOD (Head of Department) and a Tenured Associate Professor.
Can you list the faculty members of the Department of Electrical Engineering?,"The faculty members include: Laiq Khan (Professor), Yasir Muhammad (HOD / Tenured Associate Professor), Ata ur Rehman (Tenured Associate Professor), Muhammad Aurangzeb (Lecturer), Kashif Ejaz Jatoi (Lecturer), Alamdar Hussain (Lecturer), Babar Sattar Khan (Lecturer), Assad Hafiz (Lecturer), and Hassan Saeed Qazi (Lecturer)."
What doctoral programs are available at CUI Attock campus?,"CUI Attock offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Which undergraduate degrees can I pursue at the Department of Electrical Engineering?,The undergraduate degrees listed under the Department of Electrical Engineering are BEE (Bachelor of Electrical Engineering).
What facilities does the CUI Attock library provide for electronic information access?,"The library offers internet facilities that connect users to libraries worldwide for reference, assistance, and consultation, and it is equipped with a sophisticated audiovisual system."
How can I contact the CUI Attock campus by phone?,You can reach CUI Attock at +92-57-9316330-1 or +92-57-9049158.
Where is the CUI Attock campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What is the contact phone number for the Department of Electrical Engineering at COMSATS University Islamabad Attock Campus?,The contact phone number is +92-57-9316330-1.
Which email addresses can be used to reach the Head of Department for Electrical Engineering at the Attock Campus?,You can email hod_ee@ciit-attock.edu.pk or hod_ee@cuiatk.edu.pk.
What postgraduate programs are offered by the Department of Electrical Engineering at COMSATS Attock?,The department offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
Where is the Department of Electrical Engineering located within the Attock Campus?,"It is located near Officers colony, Kamra Road Attock, Pakistan."
What are the contact phone numbers for CUI Attock Campus?,The contact phone numbers listed are +92-57-9316330-1 and +92-57-9049158.
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
What graduate programs are offered in the Electrical Engineering department?,The Electrical Engineering department offers a Master of Science in Electrical Engineering and a PhD in Electrical Engineering.
When was the Electrical Engineering Department new website launched?,"The new website for the Electrical Engineering Department was launched on February 16, 2026."
Which social media platforms does CUI use to share updates?,"CUI shares updates on Facebook, Instagram, LinkedIn, and YouTube."
When was the Department of Electrical Engineering at CUI established?,The Department of Electrical Engineering was established in 2007.
What degree programs does the Department of Electrical Engineering offer?,"Since its inception, the department has launched multiple degree programs, including BS (Electrical Engineering) and MS (Electrical Engineering)."
What are the main goals of the Department of Electrical Engineering?,"The department aims to achieve academic and research excellence through a well‑designed curriculum, strong focus on research and innovation, objective‑based learning, and strong industrial liaison, and strives to provide excellent facilities, best teaching methods, and a supportive learning environment."
How can I contact the university for more information?,You can contact the university at +92-57-9316330-1 or +92-57-9049158.
Where is the university located?,"The university is located near Officers Colony, University Road, Attock, Pakistan."
What degree programs are offered by the Department of Computer Engineering?,"The Department of Computer Engineering offers three degree programs: a Bachelor of Science (BS) in Computer Engineering, a Master of Science (MS) in Computer Engineering, and a Doctor of Philosophy (PhD) in Computer Engineering."
How can I get in touch with the university office in Attock?,"You can contact the university office in Attock by calling either +92-57-9316330-1 or +92-57-9049158. The office is located near Officers Colony, University Road, Attock."
Where can I find information about scholarships on the university website?,Information about scholarships can be found under the "Scholarships" section listed in the website navigation menu.
What does the Head of the Department of Computer Engineering say in their welcome message?,"The Head of the Department of Computer Engineering welcomes visitors, stating that the department is committed to innovation and excellence in education and research, and that it aims to produce highly skilled graduates and postgraduates who contribute to cutting‑edge technological advancements."
What is the contact email for the Department of Computer Engineering?,The Department of Computer Engineering can be contacted via email at hod_ce@cuiatk.edu.pk.
What phone numbers can I call for the university in Attock?,You can reach the university at +92-57-9316330-1 or +92-57-9049158.
Which undergraduate and graduate programs are offered by the Department of Computer Engineering?,"The department offers the following programs:
- Undergraduate: BEE (Bachelor of Electrical Engineering) and BCE (Bachelor of Computer Engineering).
- Graduate: Master of Science in Computer Engineering.
- Doctoral: PhD in Computer Engineering."
What is the vision of the Department of Computer Engineering?,The department's vision is to be recognized globally as one of the leading departments of engineering education.
Where is the Department of Computer Engineering located?,"The department is located near Officers Colony, University Road, Attock, Pakistan."
When did the Pakistan Engineering Council (PEC) conduct the zero visit for the Computer Engineering program at CUI Attock?,"The PEC team visited the CUI Attock campus on April 16, 2012 for the zero visit of the Computer Engineering program."
What was the result of the zero visit for the Electrical Engineering program at CUI Attock?,"The zero visit on April 28, 2011 resulted in a green signal being granted to launch the Electrical Engineering program in the 61st EA and QEC meeting."
Has the Computer Engineering program at CUI Attock received its accreditation status from PEC?,The campus is still waiting for the accreditation status from the Pakistan Engineering Council for the Computer Engineering program.
When did the PEC conduct the interim visit for the Electrical Engineering program at CUI Attock?,"The PEC team performed an interim visit for the Electrical Engineering program on April 16, 2012."
When was the interim visit for the Computer Engineering program carried out by PEC?,"The interim visit for the Computer Engineering program took place on August 11, 2015."
What undergraduate degree does the Department of Computer Engineering offer?,The Department of Computer Engineering offers a Bachelor of Science in Computer Engineering (BCE).
How can I contact the Head of Department for Computer Engineering?,You can email the Head of Department at hod_ce@cuiatk.edu.pk.
What are the phone numbers for the university campus in Attock?,The listed phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the campus located?,"The campus is near Officers Colony, University Road, Attock, Pakistan."
What research groups are part of the Department of Computer Engineering?,The Department of Computer Engineering lists two research groups: OPTRIC (Optimization Research and Innovation Center) and ACRC (Antenna & Communication Research Center).
What does the OPTRIC research group focus on?,"OPTRIC researchers carry out advanced studies in solving difficult, large‑scale optimization problems, with a special focus on state‑of‑the‑art implementation of modern algorithms, practical relevance, and collaboration with industrial partners."
What are the research interests of the ACRC group?,"The Antenna & Communication Research Center (ACRC) specializes in the analysis, design, and measurement of antennas and associated devices, bringing together research excellence across the university."
How can I contact the university campus in Attock?,"You can reach the campus at Near Officers Colony, University Road Attock, or call +92-57-9316330-1 or +92-57-9049158."
Which graduate programs are offered in Computer Engineering?,The graduate programs in Computer Engineering include a Master of Science in Computer Engineering and a PhD in Computer Engineering.
What are the contact phone numbers for the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the university campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
Which doctoral (PhD) programs are offered at the university?,"The university offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Can you name a recent research paper from the Department of Computer Engineering that was accepted for publication in the EURASIP Journal?,"The paper titled “Advances in relay networks: Performance and Capacity analysis of space-time analog network coding,” was accepted for publication in the EURASIP Journal on Wireless Communications and Networking on December 10, 2010."
What are the contact phone numbers for the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
What is the address of the university?,"The university is located near Officers Colony, University Road Attock."
Which undergraduate degree programs are listed on the website?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What graduate (master's) programs are offered?,"The graduate programs listed are Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
Who are the faculty members of the Department of Computer Engineering and what are their positions?,The Department of Computer Engineering faculty includes: Shujaat Ali Khan Tanoli – HoD / Associate Professor; Saeed Ehsan Awan – Tenured Associate Professor; Ajmal Khan – Tenured Associate Professor; Engr. Qazi Zia Ullah – Professor; Faiza Nawaz – Assistant Professor; Farwida Javed – Assistant Professor; Muhammad Ismail – Assistant Professor; Akbar Ali Khan Afridi – Assistant Professor; Abdul Ahad Khan – Lab Engineer; Mubashir Rehman – Lab Engineer; Abbas Ali Shah – Lab Engineer.
How can I contact the Department of Computer Engineering at COMSATS University Islamabad Attock Campus?,"You can reach the Department of Computer Engineering at COMSATS University Islamabad Attock Campus by phone at +92-57-9316330-1 (Ext: 273), fax at +92-57-9316329, email at hod_ce@cuiatk.edu.pk, or visit the department at Near Farooq Azam colony chowk, Kamra Road Attock, Pakistan."
What graduate programs are offered in Computer Engineering at COMSATS University Islamabad Attock Campus?,The department offers a Master of Science in Computer Engineering and a PhD in Computer Engineering.
Where is the Department of Computer Engineering located?,"The Department of Computer Engineering is located near Farooq Azam colony chowk, Kamra Road Attock, Pakistan."
Which social media platform does the Computer Engineering Department use for updates?,The department lists Facebook as its social media platform for updates.
What recent news has the Computer Engineering Department announced?,Recent news includes an "Unauthorized Recording and Photography" notice dated 12 Feb and the launch of a new department website announced on 16 Jan 2026.
What are the contact phone numbers for CUI Attock Campus?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock Campus located?,"It is located near Officers Colony, University Road Attock."
Which campuses are part of CUI?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a Virtual Campus."
When was the new Computer Engineering Department website launched?,"The new Computer Engineering Department website was launched in 2026, with the announcement dated January 16, 2026."
What undergraduate programs are offered by the Department of Management Sciences at CUI?,The Department of Management Sciences at CUI offers undergraduate programs such as BBA (Bachelor of Business Administration) and BSM (Bachelor of Management Sciences).
Which graduate degrees can I pursue in the Department of Management Sciences?,"At the graduate level, the Department of Management Sciences provides a Master in Business Administration (MBA) and a Master of Science in Management Science."
"How can I contact the CUI campus located near Officers Colony, University Road Attock?","You can reach the CUI campus near Officers Colony, University Road Attock by calling +92-57-9316330-1 or +92-57-9049158."
What are the specialization areas available in the business programs of the Department of Management Sciences?,"The Department of Management Sciences offers business programs with specializations in Finance, Business Administration, Management, Project Management, and Public Administration at both bachelor and master levels."
What is the mission of CUI as described in the text?,"CUI’s mission is to impart quality education in diverse disciplines to students at an affordable price, positioning itself as a dynamic and highly innovative public‑sector university in Pakistan."
When was the Department of Management Sciences at COMSATS University Islamabad Attock Campus established?,The Department of Management Sciences was established in 2004 as one of the two pioneering departments of the Attock campus.
What are the phone numbers to contact COMSATS University Islamabad Attock Campus?,The campus can be reached at +92-57-9316330-1 and +92-57-9049158.
Which doctoral programs are offered at COMSATS University Islamabad Attock Campus?,"Doctoral programs include PhD in Computer Science, PhD in Electrical Engineering, PhD in Computer Engineering, PhD in Management Science, and PhD in Mathematics."
Where is COMSATS University Islamabad Attock Campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What undergraduate degrees can I pursue at COMSATS University Islamabad Attock Campus?,"Undergraduate degrees offered are BCS, BEE, BCE, BBA, and BSM."
What doctoral programs does COMSATS University Islamabad offer?,"COMSATS University Islamabad offers PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Which academic departments are listed on the COMSATS University Islamabad website?,"The listed academic departments are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What undergraduate degree programs are available at COMSATS University Islamabad?,"The undergraduate degree programs are BCS, BEE, BCE, BBA, and BSM."
How can I contact COMSATS University Islamabad campus in Attock?,"You can contact the campus at +92-57-9316330-1 or +92-57-9049158, located near Officers Colony, University Road, Attock."
What does the Dean of the Faculty of Business Administration say about the university's education?,"The Dean states that the Faculty of Business Administration at COMSATS University Islamabad provides skillful, experience‑based teaching staff to ensure students are prepared with the latest knowledge and market‑driven skills required to succeed in a dynamic environment."
What are the phone numbers listed for contacting the university?,The text lists two phone numbers: +92-57-9316330-1 and +92-57-9049158.
Which organization accredits computing degree programs at CUI?,"The National Computing Education Accreditation Council (NCEAC), established by the Higher Education Commission (HEC), accredits computing programs at CUI."
What doctoral degree does CUI offer in the field of Management Sciences?,CUI offers a PhD in Management Science.
How can I contact the Department of Management Sciences?,You can email the Department of Management Sciences at hod_ms@ciit-att.
Which undergraduate programs are mentioned in the text?,"The undergraduate programs listed are BCS, BEE, BCE, BBA, and BSM."
What undergraduate degree programs are listed on the CUI Attock website?,"The undergraduate programs listed are BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Science in Management)."
How can I contact the Department of Management Sciences?,You can contact the Department of Management Sciences via email at hod_ms@ciit-attock.edu.pk and through their Facebook page.
What graduate programs are offered by the Department of Management Sciences?,"The Department of Management Sciences offers a Master in Business Administration, a Master of Science in Management Science, a Master of Science in Project Management, and a PhD in Management Science."
Where is the university located and what are the phone numbers for contact?,"The university is located near Officers Colony, University Road, Attock, Pakistan. The contact phone numbers are +92-57-9316330-1 and +92-57-9049158."
What research groups are part of the Department of Management Sciences at CUI?,"The Department of Management Sciences has three research groups: Research Group I – Human Resource Management, Research Group II – Economics and Finance, and Research Group III – Marketing and Strategic Management."
What issues does the Human Resource Management research group investigate?,"The Human Resource Management research group investigates recent issues in theory and practice, focusing on employee performance, motivation, and satisfaction to promote organizational growth."
Which research group studies economic and financial themes at national and international levels?,"Research Group II – Economics and Finance studies current economic and financial themes at both national and international levels, providing empirical and theoretical foundations to significant problems."
What does the Marketing and Strategic Management research group focus on?,The Marketing and Strategic Management research group studies the approaches adopted by national and multinational organizations related to their strategies.
"How can I contact the CUI campus near Officers Colony, University Road Attock?","You can contact the campus at +92-57-9316330-1 or +92-57-9049158. The address is Near Officers Colony, University Road Attock."
What are the contact phone numbers for the university?,The university can be contacted at +92-57-9316330-1 and +92-57-9049158.
Where is the university campus located?,"The campus is located near Officers Colony, University Road Attock, Pakistan."
What graduate degree programs are offered at CUI?,"CUI offers the following graduate programs: Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What types of research publications does the Department of Management Sciences produce?,"The faculty of the Department of Management Sciences actively publish research in reputable journals meeting HEC standards, primarily in Thomson Reuters’ ISI Impact Factor Journals. Selected publications include conference papers such as Mr. Ehtesham ul Mujeeb’s ""An empirical investigation of the association between organizational culture and performance management practices in Pakistan"" presented at the 2nd South Asian International Conference (SAICON)."
Who is the Head of Department for Management Sciences?,"The Head of Department (HoD) for Management Sciences is Faisal Shahzad, who is also listed as an Associate Professor."
How many tenured associate professors are listed in the Management Sciences department?,"There are six tenured associate professors listed: Saddam Hussain, Shabir Hyder, Muhammad Imran Malik, Muhammad Ayub, Noman Khan, and Asim Anwar."
What undergraduate programs are offered at the university?,"The undergraduate programs offered include BCS, BEE, BCE, BBA, and BSM."
What are the contact phone numbers for the university?,The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the university campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What phone numbers can I use to contact the CUI Attock campus?,You can reach the campus at +92-57-9316330-1 or +92-57-9049158.
How many titles does the Management Sciences library catalogue contain and what subjects do they cover?,"The library catalogue holds 2,500 specific titles covering management, economics, business, research, project management, public administration, mathematics, statistics, and other relevant subjects."
Do faculty and students of the Management Sciences department have access to research databases and free books?,"Yes, faculty and students are provided full access to numerous research databases, free accessible books, and relevant information through the library services."
What postgraduate programs are offered in Management Sciences at CUI Attock?,The postgraduate offerings include a Master in Business Administration and a PhD in Management Science.
What are the phone numbers to contact the Department of Management Sciences at COMSATS University Islamabad Attock Campus?,The Department of Management Sciences can be reached at +92-57-9316330 and +92-57-9316331.
What email address can I use to contact the Department of Management Sciences?,You can email the Department of Management Sciences at hod_ms@ciit-attock.edu.pk.
Where is the Department of Management Sciences located?,"The Department of Management Sciences is located near Officers colony, Kamra Road, Attock, Pakistan."
Which social media platforms are mentioned for COMSATS University Islamabad Attock Campus?,"The university mentions Facebook, Instagram, LinkedIn, and YouTube as its social media platforms."
What are the phone numbers to contact the university?,The contact numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock Campus located?,"It is located near Officers Colony, University Road Attock, Pakistan."
What degree programmes does the Department of Mathematics offer?,"The Department of Mathematics offers a PhD in Mathematics, a Master of Science in Mathematics, and undergraduate programmes such as BSM (Bachelor of Science in Mathematics)."
How does the Department of Mathematics contribute to other fields?,"Mathematics at CUI contributes to computer sciences, engineering, medicine, economics, management and social sciences, enhancing reasoning, analysis and logical skills and addressing issues and challenges in science and technology."
"When was the Department of Mathematics at COMSATS University Islamabad, Attock Campus established?","The Department of Mathematics at COMSATS University Islamabad, Attock Campus was established in 2011."
What graduate programs does the Department of Mathematics offer and when were they launched?,The department started a two‑year MSc Mathematics program in Fall 2011 and inaugurated an MS Mathematics program in Fall 2012.
How many faculty members are in the Department of Mathematics and how many hold PhDs?,"The department has 19 faculty members, of which 17 hold PhDs."
What research areas do the mathematics faculty focus on?,"Faculty research interests include algebra, analysis, applied mathematics, convexity, graph theory, mathematical biology, numerical analysis, probability, and fluid dynamics."
How many undergraduate programs does the Department of Mathematics currently run?,"The department is currently running four programs, including a BS Mathematics program."
What undergraduate degree programs are offered by the Department of Mathematics at CUI Attock?,The Department of Mathematics offers a Bachelor of Science in Mathematics and a Bachelor of Science in Mathematics with Data Science.
How can I contact the Head of the Mathematics Department at CUI Attock?,You can email the Head of Department at hod_math@ciit-attock.edu.pk or hod_math@cuiatk.edu.pk.
What graduate programs are available in the Mathematics department?,The department offers a Master of Science in Mathematics and a PhD in Mathematics.
What are the phone numbers for CUI Attock campus?,The campus phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI Attock campus located?,"It is located near Officers Colony, University Road, Attock, Pakistan."
What research groups are listed for the Department of Mathematics?,The Department of Mathematics lists two research groups: the Fluid Dynamics Group and the Numerical Analysis Group.
What is the objective of the Fluid Dynamics Group?,"The Fluid Dynamics Group aims to teach and accomplish research in fluid dynamics, focusing on theoretical and numerical work with practical applications in engineering sciences and industry."
Who are the members of the Fluid Dynamics Group?,"Members of the Fluid Dynamics Group are Dr. Muhammad Awais, Dr. Muhammad Zeb, Dr. Sohail Ahmad, Dr. Aamir Ali, Dr. Ali Imran, Dr. Noor Muhammad, Dr. Muhammad Sulaiman, Ms. Sania Irum, and Mr. Adil Ehsan."
What is the aim of the Numerical Analysis Group?,"The Numerical Analysis Group aims to teach and accomplish research in the field of numerical analysis, specifically to derive and implement numerical and analytical schemes for nonlinear problems arising in diverse areas."
How can I contact the Department of Mathematics at CUI Attock?,You can reach the Department of Mathematics by emailing hod_math@ciit-attock.edu.pk or hod_math@cuiatk.edu.pk. The department also provides social media links such as Facebook.
"How many research publications did the Department of Mathematics produce in 2024, 2023, 2018, and 2017?","The Department of Mathematics reported 56 publications in 2024, 49 publications in 2023, 59 publications in 2018, and 67 publications in 2017."
What undergraduate degree programs are offered at CUI Attock?,"CUI Attock offers the following undergraduate programs: BCS (Bachelor of Computer Science), BEE (Bachelor of Electrical Engineering), BCE (Bachelor of Computer Engineering), BBA (Bachelor of Business Administration), and BSM (Bachelor of Management Sciences)."
Which graduate (master's) programs are available at CUI Attock?,"The graduate programs at CUI Attock include Master of Science in Computer Science, Master of Science in Electrical Engineering, Master of Science in Computer Engineering, Master in Business Administration, and Master of Science in Mathematics."
What is the address and phone numbers for CUI Attock?,"CUI Attock is located near Officers Colony, University Road Attock, Pakistan. The contact phone numbers are +92-57-9316330-1 and +92-57-9049158."
"What are the phone numbers to contact the CUI campus near Officers Colony, University Road Attock?",The contact phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where is the CUI campus located in Attock?,"The campus is located near Officers Colony, University Road Attock, Pakistan."
Who is the Head of the Department of Mathematics at CUI?,Asif Waheed serves as the HOD (Head of Department) and is a Tenured Associate Professor in the Department of Mathematics.
What graduate programs does CUI offer in Mathematics?,CUI offers a Master of Science in Mathematics and a PhD in Mathematics as graduate programs.
Can you list the faculty members of the Department of Mathematics and their positions?,"The Department of Mathematics faculty includes: Asif Waheed (HOD / Tenured Associate Professor), Muhammad Awais (Tenured Associate Professor), Farooq Ahmed Shah (Associate Professor), Shafiq ur Rehman (Tenured Associate Professor), Atiq ur Rehman (Tenured Associate Professor), Muhammad Zeb (Associate Professor), Sohail Ahmad (Associate Professor), Aamir Ali (Associate Professor), Takasar Hussain (Associate Professor), Muhammad Ozair (Associate Professor), Muhammad Numan (Associate Professor), and Ali Imran (Associate Professor)."
What are the phone numbers for contacting the CUI Attock campus?,The CUI Attock campus can be reached at +92-57-9316330-1 and +92-57-9049158.
Which academic departments are listed on the CUI Attock website?,"The listed departments are Computer Science, Electrical Engineering, Computer Engineering, Management Sciences, and Mathematics."
What graduate programs does CUI Attock offer?,"Graduate programs include Master of Science in Computer Science, Electrical Engineering, Computer Engineering, Business Administration, Mathematics, and PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
Where is the CUI Attock campus located?,"The campus is located near Officers Colony, University Road, Attock, Pakistan."
What facilities does the CUI Attock library provide for students?,"The library offers a spacious, well‑planned environment with periodicals and journals, electronic information access, circulation, reserve and reference sections, internet connectivity to global libraries, and a sophisticated audiovisual system."
What undergraduate degree programs does CUI offer?,"CUI offers the following undergraduate programs: BCS, BEE, BCE, BBA, and BSM."
Which doctoral (PhD) programs are available at CUI?,"CUI provides PhD programs in Computer Science, Electrical Engineering, Computer Engineering, Management Science, and Mathematics."
How can I contact the Department of Mathematics?,You can contact the Department of Mathematics via email at hod_math@ciit-attock.edu.pk or hod_math@cuiatk.edu.pk.
What are the phone numbers for CUI's main office?,The main office phone numbers are +92-57-9316330-1 and +92-57-9049158.
Where are CUI's campuses located?,"CUI has campuses in Islamabad, Abbottabad, Wah, Lahore, Sahiwal, Vehari, and a virtual campus."
